"","Date","Mid.SKSPEC3","Mid.SKSPEC4","Mid.SKSPEC5","Mid.SKSPEC6","Mid.SKSPEC7","Mid.SKSPEC8"
"2509",2013-07-24,0.6344,0.63478,0.63592,0.6275,0.61906,0.60617
"2521",2013-07-25,0.6337,0.6338,0.63472,0.62603,0.61736,0.60426
"2533",2013-07-26,0.63301,0.633,0.63383,0.62502,0.61627,0.60307
"2545",2013-07-29,0.6324,0.63207,0.6326,0.62351,0.61449,0.60104
"2557",2013-07-30,0.63258,0.63233,0.63296,0.62395,0.61501,0.60163
"2569",2013-07-31,0.63374,0.63375,0.63465,0.6259,0.61719,0.60401
"2581",2013-08-01,0.63505,0.6353,0.63641,0.62789,0.61936,0.60639
"2593",2013-08-02,0.63627,0.63719,0.63898,0.63108,0.62319,0.61074
"2605",2013-08-05,0.63586,0.63672,0.63844,0.63048,0.62255,0.61008
"2617",2013-08-06,0.6355,0.63611,0.63767,0.62964,0.62158,0.60883
"2629",2013-08-07,0.63305,0.63303,0.63394,0.62529,0.61669,0.60344
"2641",2013-08-08,0.63202,0.63173,0.63237,0.62345,0.61461,0.60117
"2653",2013-08-09,0.63268,0.63256,0.63339,0.62464,0.61597,0.60265
"2665",2013-08-12,0.63362,0.63364,0.63461,0.62597,0.6174,0.60417
"2677",2013-08-13,0.63477,0.63523,0.63661,0.62833,0.62011,0.60719
"2689",2013-08-14,0.6344,0.6351,0.63667,0.62857,0.62055,0.60781
"2701",2013-08-15,0.63228,0.63256,0.6337,0.62521,0.61686,0.60376
"2713",2013-08-16,0.62992,0.62962,0.63015,0.62111,0.61226,0.59874
"2725",2013-08-19,0.62891,0.62863,0.62921,0.62021,0.61144,0.59796
"2737",2013-08-20,0.62676,0.62584,0.62578,0.61623,0.6069,0.59293
